number_of_tokens,address,name,creator
378176.7311,0xedd77d21145fa99ae03689f7341e42750f9cf33c,GnosisSafeProxy,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
150000,0x4a848f44146ca6d1d6aa34bcdf3c41093def1761,Proxy,0x26104955b8280c28ca392f42422fdbdbf93c7003
120000,0xad0a852f968e19cbcb350ab9426276685651ce41,GnosisSafeProxy,0x96c72085652787725690116cb06b208598175def
46091.09858,0x90e28f3c395be18c311f18c99646c7f2a2d288f4,OceanRewardPool,0x3b29edf2e6ada78b95492e0d0617d643a5ee55d3
30000,0xfb6709b2fb3aa63cd95ddea3b7d1f43fb9033af1,N/A,N/A
16241.72427,0x9b3f79495649ff97a38c11cb23a2d5d089f06585,StakingRewards,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
11752.08248,0xd8031d053a2e2370c5a510c9a94aff29565a7365,StakingRewards,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
10897.96861,0x0210b1ed07df594fd3aac32832a6e1690554716a,StakingRewards,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
10396.83428,0xf3d05e481e1f7baaa32759e3218e8cce270f4a50,MerkleDistributor,0x26104955b8280c28ca392f42422fdbdbf93c7003
10378.23669,0xd49c1381f54e87e0e69735c103429444a400e575,MerkleDistributor,0x26104955b8280c28ca392f42422fdbdbf93c7003
10178.31316,0x0d14d6c998b29f93d95796098d19289c8028f11d,,0x78e869870e425a4d78bc18c46be9a6b9b8417cb5
8000,0x3d5cfa6fae16bb26b9bf92c01f1657c75d6da4df,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
8000,0x4a4bb9b3413ebbd2345139bbe66428955ea09e78,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
6197.624889,0xb11206931df47c73e609dfd679798ac37f800599,N/A,N/A
5722.523042,0x86b2e21747a35faa7fc7f4f43b058e68a3af03dc,N/A,N/A
5500,0x40de5dd1b1988d506b22156e51c23ad779b2f95d,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
5500,0x3ee91da5ed667a4a90bf28381675a24857ddadd9,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
5500,0xd7cdb70d7dab350f368a2282799148edefb2fddb,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
5500,0x7ff5e116c6baeeb6e835a2b77b240ea6484016cf,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
5500,0xae85ef91e97fedf93fa4e29710d30a6af8bf0655,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
5500,0x8f4ad49cffab2615d9ee2ef40da94664f737ca95,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
5500,0xf588484befe7658cb1f4c8d208f6f6c97f768e50,,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
5500,0xc86452c9637c743be57a16dd01b432bcaae86f30,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
5500,0x5214bb526a6fb097d43f534b1ed938e9a6d76080,,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
5500,0xd14a89b16629b7254c4925f61f69c02d4a18b6a9,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
5500,0x04f0bac1ba7c9abbec24c572ad45f0f736e33044,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
5500,0x1db36b4727f228618594a173c4fe0c2d06d3d4c1,,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
5500,0xf031d0ef47ca08f2d9ce2104f11b9734ade94d73,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
5500,0xd5c408194005a5a8d67ca369f5b6cc51e387761a,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
4635.633261,0x716bec638455ccae04b0908aeb7c367271800453,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
4000,0xd361ff40cc9eecfdfbb800b1f6311fc571a34fce,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
4000,0x40119fa9644cf13895a8d18a69a670077fa4787e,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
4000,0x1c571a2c4a8586617e660df381a8346d78f1ea5c,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
3690.497464,0x1934f150d8c1342ffaf27f85155259555f154340,N/A,N/A
3581.708454,0x2337e518542db50da49f686fe3db883908c3a517,VirtualBalanceRewardPool,0x3b29edf2e6ada78b95492e0d0617d643a5ee55d3
3505.6,0x8be6f3dfba2e580edb6019ffb888bf0777bbc8d8,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
3169.70683,0x8d7231c69db7853b02969e4d373696e4c7ae0ead,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
3000,0x6df307bb8d7d28e186f0af232b4d5e698cb92a4f,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
2961.0899,0xec21f7151b60744fba6721ba5b69f697361bcd0c,GnosisSafeProxy,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
2400,0x4a1c0bfdef30ff4fbeb7a3f77a0e6f73790764ee,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
2394.265608,0x8dc8f2d579a6597c7a0e723299062387ae7d8633,StakingRewards,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
2141.019882,0x5d3fb8e8b3c261ee9f602eb19f430785f4332d84,N/A,N/A
2000,0x5eb4314285c7ed373751829d1546c0023aa8a98e,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
2000,0x7161f6d53aa35e5e23467342b229005618e25a72,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
2000,0xb92fd9fea6854d03b591f3b22125ae5d98bba6f3,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
2000,0xa0fbad23603b316592713c4e961754e05aec0135,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
2000,0x1aaece5176499521c0c4e016e329cae61f551836,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
2000,0xd58e7582f8064f73b6744550b7e786721887a09e,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
2000,0xd71024ae3076dc30a7d6e011b986ecc0554cd0e2,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
1998.603073,0x52b4943bae9cbda94f5f7e8b87a038bc96533a33,N/A,N/A
1967.839581,0xc4f41b67b0a8b3c712ba90bba9f051fefd3039b9,N/A,N/A
1836.634107,0x6e1ad8e91b9b7b677c2a81fa31b6faaa657424fb,N/A,N/A
1638.604324,0x484787baf344005c45e912f3117b6d7fa7507094,StakingRewards,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
1581.56339,0x863a3bd6f28f4f4a131c88708da91076fdc362c7,N/A,N/A
1388.362905,0x30a20b0281df39e6337c3cbe5865e6fdcdcce3f1,N/A,N/A
1364.366739,0x192a99d9246f6c561577167852e08d1ee7efa2be,N/A,N/A
1356.880874,0x141fef8cd8397a390afe94846c8bd6f4ab981c48,N/A,N/A
1325.59,0xee2513fc4127b3786c2f326a8ac22a23c86ef885,N/A,N/A
1300,0xd23e8436535085682b91645f8f8aa1763dc161f0,N/A,N/A
1222.719184,0x2ae08f2cbb9a9e2d4609c487ecb1b6308718d5e8,StakingRewards,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
1200,0x97041f12c6d863c3124457103d890787ac94faf3,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
1183.075889,0xf2978b5dabb93964410fb0394c07f144706a2df7,N/A,N/A
1025.996855,0xceccb4d7724ab40681bc09744066405740b1faf6,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
1000,0x9be6ed5dffa0337085e1b9ec745cbfc6f8234c0c,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
1000,0x2f8ef7601b6c88a6877120a1033a9d875648e6d6,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
1000,0x40252608ee1079c7dd3f3248df9c267cbdc26cce,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
1000,0x0bf89f78c6930500b96f8c64b66a6a6149a46115,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
1000,0xff3e661e06b8bc1cbadd6479f972806ed61267de,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
1000,0x61865b336c4b67cf358b923035441853a5c0b2d6,N/A,N/A
1000,0x23e08e46dd602faf56a6655fb0b88b06ba67fca5,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
946.4304915,0x3b7b41f27b89f07269a0599f15fba723f21f2442,N/A,N/A
800,0xc4602ae6fff58ca1cdac3d68ddf545c9221b7bab,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
785.8719785,0xcf0abc94eedd973b38a5be6fcd8480fc506d26b3,VirtualBalanceRewardPool,0x3b29edf2e6ada78b95492e0d0617d643a5ee55d3
779.4799875,0x1a62c9d1746de9fd9d449e80ddbb8a67d2a72a94,N/A,N/A
741.358902,0x4ec0d522af1e757b6e49b92a497b492e358c7be0,N/A,N/A
719.1260715,0xf70848b585acd363b15cb62d29b85b67f12ea1c1,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
713.0636437,0xfdd9c213dafcae58adebab081f003e649482f1b9,N/A,N/A
650,0xc8de0f53e2b96372523926f2a678ea0fb73d9a70,N/A,N/A
589.5376755,0x9dac555d67927e5b6738e829afb8088e5692ab00,N/A,N/A
515.7893168,0x7075ae09b051374d467bc0338ad0eca6d62c5018,GnosisSafeProxy,0xbe79b3571dc006a7b918610fd540b1b59f86afc3
464.8777418,0x32ef116dd6d6c997ecbd277625715aa3058755b3,N/A,N/A
426.7806157,0x8b501a6090fd3c6b905b1a0099e2e216a5a2d40d,N/A,N/A
334.8684172,0x5c87da6a4947b49842c33a82bc30bac3a6811e64,VirtualBalanceRewardPool,0x3b29edf2e6ada78b95492e0d0617d643a5ee55d3
330.8039797,0x43196c7478e3937134308389146465280bf7bc8a,N/A,N/A
315.3098341,0xd13f1ae4057f6d2e453ae963fb269af901a90db7,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
284.6675745,0xe0dc24a3d7478eb840dc63baa20fcb06cdb123be,N/A,N/A
239.691601,0xf55af35964df6de047debc1095b8332a4dc4878d,N/A,N/A
189.1953563,0xfeb430ed4c21b748681f7a0b41cb071c603a40e9,Holding,0xade38bd2e8d5a52e60047affe6e595bb5e61923a
175.1284124,0xf931287f4d9406a5aa0fc0f1ae272756c0a44cfa,N/A,N/A
162.1116155,0x5b78ae09929c53c77ba29a13265e35a2f62dd89f,N/A,N/A
149.1594616,0x2fc9f003213fb9bff6cd7c5a108a446953e70892,N/A,N/A
144.097279,0x807e4419f9e09db3c8c22a6dffb753ae4b1f992e,N/A,N/A
127.5232868,0x51e7b8564f50ec4ad91877e39274bda7e6eb880a,N/A,N/A
123.6250416,0x8fd4e91676d540b2c22e793617fc789f3fce00ba,N/A,N/A
121.8640479,0xbffff0dcdf5e292d3b804958004e851383c5458f,N/A,N/A
113.5476112,0xd124f0cb269cefb2a2e85d00c3eb11eda35253d2,N/A,N/A
109.2986032,0x8a160cac2f51f0365f92114837ee1cc8c5f9acb7,N/A,N/A
106.7314933,0xedc46f27a1684cef1e96afe9604bc284db856da5,N/A,N/A
100.0727317,0x209d83dd0d2382741ef48ddf82cbf8fd5baecd62,N/A,N/A
100,0xcba1a275e2d858ecffaf7a87f606f74b719a8a93,N/A,N/A